Cod.,descrizione breve,Long,Lat,Territorio,Localizzazione,Venue,CUP,Descrizione lunga,Finalità,Totale quadro economico,Soggeto attuatore,Stazione Appaltante,procedura ambientale,Riferimento normativo procedura ambientale,data fine procedura ambientale,procedura autorizzativa,Riferimento normativo procedura autorizzativa,data fine procedura autorizzativa,data aggiudicazione,Aggiudicatario,Data inizio Lavori,Data fine Lavori,Fase dell'intervento,Certificazione dell'Opera,Tipo Legacy,fine ante olimpiadi,commissario,data pubblicazione dati
A01.0,Nuovo impianto di innevamento dello stadio del Biathlon,12.15315006609745,46.88484235791036,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I51B21003640004,"L'intervento prevede la realizzazione di un nuovo impianto di innevamento delle piste da sci da fondo di Anterselva con la realizzazione di un'opera di captazione dell‘acqua dal Rio Anterselva, la costruzione di un edificio con impianto di pompaggio nella rete di distribuzione e verso il bacino artificiale. Saranno inoltre realizzate condotte di distribuzione dell’acqua lungo il percorso delle piste da sci e condotte di collegamento al bacino artificiale per adduzione/derivazione dell’acqua per l’innevamento. Saranno installati generatori di neve fissi e mobili lungo il percorso delle piste da sci e verrà posizionata una macchina per la produzione di neve sopra i zero gradi.",Evento olimpico,7553746.89,Comune di Rasun Anterselva,Comune di Rasun Anterselva,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2022-07-18 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-18 00:00:00,2022-11-09 00:00:00,Ati: Technoalpin S.p.A. - Karl Wieser OHG,2023-05-31 00:00:00,2024-12-21 00:00:00,concluso,---,---,,,2026-01-22
A02.1,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 0 Demolizioni e viabilità",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,I28I21000270003,"L'intervento prevede le demolizioni dei trampolini K90 e K120 e il potenziamento della viabilità interna al Centro del Salto del comune di Predazzo con l'allargamento strada. E' progettata la messa in sicurezza e l'asfaltatura della via dalla zona Castellani alla cima del trampolino HS104, la  sostituzione e l'integrazione dei guardrail presenti e la realizzazione di scogliere di altezza variabile a contenimento del terreno a monte della strada.",Evento olimpico,2583134.4,Comune di Predazzo,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2022-08-16 00:00:00,Ati: Zugliani s.r.l. - Zampedri,2022-10-26 00:00:00,2024-10-08 00:00:00,concluso,---,---,,,2026-01-22
A02.2,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 1 Opere sportive principali",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,C24J23000310003,"L'intervento prevede la realizzazione dei nuovi trampolini HS109 e HS143 con il rifacimento di piste di lancio e delle piste di atterraggio oltre alla costruzione di  un nuovo edificio per i giudici di gara e postazione tv. Ex novo anche le  tribune allenatori con riposizionamento e potenziamento tecnologico, fornitura e posa di torri faro e conseguente estensione e potenziamento della rete di distribuzione, dell’impianto di forza motrice e delle cabine di media tensione",Evento olimpico,37181702.4,Comune di Predazzo,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2023-07-14 00:00:00,ATI Edilvanzo s.r.l. - Elettroteam s.r.l. - Mo.Ca.M. s.r.l.,2024-06-12 00:00:00,2025-12-23 00:00:00,concluso,---,---,,,2026-01-22
A02.3,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 2 Innevamento ed Ascensore inclinato Comune di Predazzo",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,C24J23000320003,"L’intervento consiste nella realizzazione di un ascensore inclinato della capienza di 20 persone, comprese le opere civili nonché la fornitura, la posa ed il posizionamento dei cannoni spara neve. ",Evento olimpico,8992823.2,Comune di Predazzo,Provincia Autonoma di Trento,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2022-05-23 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2024-08-20 00:00:00,"LEITNER SPA, DEMACLENKO IT SRL, COSTRUZIONI MAZZEL SRL",2025-02-24 00:00:00,2025-10-07 00:00:00,concluso,---,---,,,2026-01-22
A03.1,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 1 - Realizzazione nuovo edificio sviluppato su quattro piani fuori terra,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000100009,L’intervento prevede la realizzazione del nuovo padiglione Olimpico presso la sede della Guardia di Finanza. Il nuovo edificio sarà sviluppato su quattro piani fuori terra per un totale di circa 400 posti letto e sarà realizzato con strutture in legno garantendo così un'alta prestazione energetica. ,Evento olimpico,25301109.98,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-06-06 00:00:00,Rti Martinelli - Benoni e Cipiemme,2024-06-19 00:00:00,2025-12-31 00:00:00,concluso,---,---,,,2026-01-22
A03.2,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 2 - Padiglione Latemar: demolizione e ricostruzione di un edificio,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000110009,L’intervento prevede la demolizione e ricostruzione del padiglione Latemar che si distibuirà su tre piani garantendo 132 nuovi posti letto. ,Evento olimpico,8139306,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-03-28 00:00:00,Impresa Tollot Costruzioni srl,2024-05-09 00:00:00,2025-10-14 00:00:00,concluso,---,---,,,2026-01-22
A03.3,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 3 - Padiglione Macchi: Riorganizzazione spazi riqualificazione sismica,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000120009,"L’intervento prevede la riorganizzazione degli spazi dei tre piani del padiglione Macchi con un miglioramento anti- sismico della struttura, in ottemperanza ai vincoli della Soprintendenza dei Beni Architettonici. ",Evento olimpico,8331990,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-04-04 00:00:00,Consorzio Lavori Ambiente - C.L.B. + Clera e Gamma Scavi e Costruzioni,2024-05-09 00:00:00,2025-11-10 00:00:00,concluso,---,---,,,2026-01-22
A03.4,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 4 -  Padiglione Nicolaucich: organizzazione degli spazi sottotetto,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000130009,L’intervento prevede l’organizzazione degli spazi del primo piano e del sottotetto del padiglione Nicolaucich per ottenere 76 nuovi posti letto. ,Evento olimpico,1386714.02,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2024-01-19 00:00:00,Edil Martinol s.r.l.,2024-01-29 00:00:00,2024-07-26 00:00:00,concluso,---,---,,,2026-01-22
A04.0,Servizio di allestimento del Villaggio Olimpico di Cortina d'Ampezzo,12.115402,46.572621,Area Dolomitica - Veneto,Comune di Cortina,Villaggio olimpico,J41B21011120003,"L'intervento prevede la realizzazione del Villaggio temporaneo che accoglierà gli atleti olimpici e paralimpici. Il design enfatizza la sostenibilità mirando a ridurre l'impatto ambientale attraverso il recupero delle strutture, la riciclabilità dei materiali, l'efficienza energetica e l'uso di energie rinnovabili. La realizzazione dell'opera si articola in tre fasi: costruzione dell'infrastruttura, allestimento per i Giochi e successiva disassemblaggio al termine delle competizioni. Si provvederà quindi al ripristino delle aree. ",Evento olimpico,40218676.87,SIMICO S.p.A.,SIMICO S.p.A.,ottenuto parere preventivo ai sensi dell',art. 3 di cui alla D.G.R. 1678 del 17/10/2017,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-07-30 00:00:00,2024-10-03 00:00:00,ATI - CRIPPACAMPEGGIO s.r.l - LOSBERGER DE BOERINTERNATIONAL B.V - F.LLI DE PRA S.p.A.,2024-12-18 00:00:00,2025-10-30 00:00:00,concluso,---,---,"Ultimazione lavori di disallestimento:
04/12/2026",,2026-01-22
A06.0,"Riqualificazione delle aree contermini di accesso alla venue di gara ""Stelvio Alpine Centre"" a Bormio (SO).",10.37073472018964,46.46632344719934,Lombardia,Comune di Bormio,Stelvio Alpine Centre,J94E21002880001,"L'intervento, ubicato all'interno del Comune di Bormio,  prevede la riqualificazione delle aree di accesso e il miglioramento della viabilità verso lo Ski Stadium, grazie alla realizzazione di una rotatoria parzialmente sormontabile a tre bracci.",Legacy,1260000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-07-05 00:00:00,2025-01-28 00:00:00,ECOEDILE S.R.L.,2025-04-15 00:00:00,2025-12-18 00:00:00,concluso,---,Stradali/Ferroviari,,,2026-01-22
A16.0,Lavori ripristino e ristrutturazione venues di gara,10.120488249370938,46.5215249983318,Lombardia,Comune di Livigno,Livigno Snow Park/Aerials Moguls,I11B21005970001,"L'intervento prevede la sistemazione della pista di rientro esistente, afferente alla venue di gara Livigno Aerials & Moguls, ubicata a Livigno, sul versante del comprensorio sciistico denominato Carosello 3000.",Legacy,1008000,SIMICO S.p.A.,SIMICO S.p.A.,valutazione  preliminare ai sensi dell',"art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii. con art. 3 del D.Lgs. n. 104 del 2017, modificato dall'art. 50, c. 1, L. 120/2020",2025-05-26 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-09-30 00:00:00,2026-04-16 00:00:00,---,2026-06-17 00:00:00,2026-11-13 00:00:00,in progettazione,---,Altro,,,2026-01-22
A19.0,Completamento parcheggio venue pattinaggio sul ghiaccio,9.142649167311586,45.40159683019978,Lombardia,Comune di Assago,Mediolanum Forum Assago,J47H21005760001,L’intervento prevede il completamento e il miglioramento delle aree di parcheggio esistenti a servizio della venue di pattinaggio del Milano Forum di Assago. ,Legacy,2532853.13,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-09-03 00:00:00,2025-12-31 00:00:00,CIVELLI SRL,2026-01-09 00:00:00,2026-07-25 00:00:00,in esecuzione,---,Stradali/Ferroviari,"Ultimazione lavori per Olimpiadi:
06/02/2026",,2026-01-22
A20.0,Adeguamenti venue biathlon,10.31819471744981,46.48298738902492,Lombardia,Comune di Valdidentro,Valdidentro - Azzurri d'Italia,G81B21006210002,"L’intervento prevede l’adeguamento funzionale dell’impianto sportivo dedicato al biathlon, denominato “Azzurri d’Italia, in tre lotti: Lotto 1: realizzazione del fabbricato adibito a ricovero dei mezzi tecnici e delle postazioni degli assistenti sportivi; Lotto 2: realizzazione del nuovo tracciato invernale e estivo (ski roller) con sistema di innevamento; Lotto 3: realizzazione del fabbricato adibito a spazi tecnici sportivi (spogliatoi, palestra, ambulatorio, sala polivalente, tribuna). ",Legacy,8062000,Comune di Valdidentro,Comune di Valdidentro,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,n.d.,---,n.d.,n.d.,in progettazione,---,Altro,,,2026-01-22
A21.0,"Venue di gara ""Livigno Snow Park"" a Livigno (SO) - Lotto 2: sistemazione zona di arrivo e delle aree contermini.",10.142726559789944,46.539792746659500,Lombardia,Comune di Livigno,Livigno Snow Park,I11B21005950002,"L'intervento, ubicato a Livigno nella venue di gara Livigno Snow Park, prevede la realizzazione di una copertura temporanea del fiume Spoel al fine di consentirne l'attraversamento con lo sviluppo della parte terminale dei tracciati di gara che transitano sopra la copertura provvisoria, per terminare sull'altra sponda del fiume. Tale struttura sarà rimossa al termine dell'evento, con possibilità di reimpiego per future manifestazioni analoghe.",Evento olimpico,4791600,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA e valutazione preliminare per la variante,"art. 19 dlgs 152/2006 e ss.mm.ii e art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii.",2023-05-03 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2023-10-31 00:00:00,2024-05-17 00:00:00,AR.CO. LAVORI SOCIETÀ COOPERATIVA CONSORTILE - LIVIPARK Soc.Cons.r.l. ( Hana S.r.l. -  Seli Manutenzioni Generali S.r.l.),2024-05-20 00:00:00,2025-08-30 00:00:00,concluso,---,---,"Ultimazione lavori di disallestimento:
19/08/2026",Commissario Straordinario,2026-01-22
A22.0,Proposta di partenariato pubblico privato per il nuovo impianto a fune con realizzazione di stazione intermedia,10.15218468813822,46.53313735184508,Lombardia,Comune di Livigno,Livigno Snow Park,J11B21007230001,"L'intervento prevede la sostituzione della vecchia cabinovia “Ponte Bondio – Mottolino” con una ad ammorsamento automatico delle cabine, in linea con gli impianti moderni delle principali stazioni sciistiche. La nuova cabinovia sarà utilizzabile sia d'inverno che d'estate offrendo un tragitto di circa 5 minuti e 20 secondi a una velocità di 6.00 m/s, migliorando comfort e accessibilità del comprensorio.",Legacy,30055505,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2023-08-31 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-12-28 00:00:00,2024-05-17 00:00:00,RTI Doppelmayr Italia - Mottolino S.p.A. - F.lli Trentini,2024-06-05 00:00:00,2025-08-11 00:00:00,concluso,---,Altro,,,2026-01-22
A24.0,"Nuovo impianto a fune per l'arroccamento a servizio della venue di gara ""Stelvio Alpine Centre"" a Bormio (SO).",10.38837242380225,46.45419576439086,Lombardia,Comune di Bormio,Stelvio Alpine Centre,J91B21002690001,"L'intervento prevede la costruzione di un nuovo impianto a fune, suddiviso in più tronchi, per migliorare l'accessibilità e la fruibilità alla pista Stelvio nel comprensorio di Bormio. ",Legacy,44800592.92,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2025-04-16 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2025-06-10 00:00:00,2025-07-18 00:00:00,RTI - GRAFFER S.r.l. e MONDINO COSTRUZIONI S.r.l. & MONTE P S.r.l.,2025-09-01 00:00:00,2027-02-15 00:00:00,in esecuzione,---,Altro,,Commissario Straordinario,2026-01-22
A28.0,"Venue di gara ""Livigno Aerials Moguls"" a Livigno (SO): lavori permanenti per i tracciati di gara, sistemazione delle skiweg e dell'impianto di risalita",10.120488249370938,46.5215249983318,Lombardia,Comune di Livigno,Livigno Aerials Moguls,C12H21000060001,"L'intervento, ubicato nella venue di gara Livigno aerials and moguls, nel comprensorio denominato Carosello 3000, prevede la modifica del pendio per ospitare due piste, per le discipline Moguls e Aerials, e la costruzione di un nuovo impianto di risalita (magic carpet) per la pista Aerials, oltre all'aggiornamento dell'impianto di illuminazione della pista di accesso con l'installazione di proiettori a LED.",Evento olimpico,5435725.47,SIMICO S.p.A.,SIMICO S.p.A.,"Valutazione preliminare con esito negativo, nessuna procedura attivata ai sensi dell'","art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii. con art. 3 del D.Lgs. n. 104 del 2017, modificato dall'art. 50, c. 1, L. 120/2020",2023-01-12 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2023-04-24 00:00:00,2024-03-27 00:00:00,RTI IMPRESA RIGAMONTI SPA - LIVIGNO SCAVI SRL,2024-05-20 00:00:00,2024-12-21 00:00:00,concluso,---,---,,Commissario Straordinario,2026-01-22
A29.0,"Venue di gara ""Stelvio Alpine Centre"" a Bormio (SO) - Lotto 1: sistemazione dei tracciati di gara e delle zone di partenza.",10.386603311560675,46.45768019229100,Lombardia,Comune di Bormio,Stelvio Alpine Centre,C92H21000070001,"L'intervento, relativo al tracciato di gara della pista Stelvio, prevede la modernizzazione delle aree di partenza per ottimizzare l'esperienza degli sciatori e garantire standard di sicurezza elevati. Verrà realizzato un nuovo tracciato per lo slalom speciale e installato un nuovo sistema di illuminazione per consentire l'utilizzo della pista in notturna.",Evento olimpico,11757558.55,SIMICO S.p.A.,SIMICO S.p.A.,"Valutazione preliminare con esito negativo, nessuna procedura attivata ai sensi dell'","art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii. con art. 3 del D.Lgs. n. 104 del 2017, modificato dall'art. 50, c. 1, L. 120/2020",2023-05-19 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2024-05-07 00:00:00,2024-08-02 00:00:00,ECOEDILE S.R.L.,2024-09-23 00:00:00,2025-12-01 00:00:00,concluso,---,---,,Commissario Straordinario,2026-01-22
A30.0,"Venue di gara ""Stelvio Alpine Centre"" a Bormio (SO) - Lotto 2: realizzazione dell'impianto di innevamento e opere annesse",10.386603311560675,46.45768019229100,Lombardia,Comune di Bormio,Stelvio Alpine Centre,C98E21000190001,"L'intervento prevede la realizzazione e il miglioramento delle infrastrutture tecnologiche per la pista Stelvio,  includendo la realizzazione di un nuovo impianto di innevamento, l'installazione di cablaggi in fibra ottica e il rinnovo dell'impianto di cronometraggio. ",Evento olimpico,19980134.37,SIMICO S.p.A.,SIMICO S.p.A.,"Valutazione preliminare con esito negativo, nessuna procedura attivata ai sensi dell'","art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii. con art. 3 del D.Lgs. n. 104 del 2017, modificato dall'art. 50, c. 1, L. 120/2020",2023-05-19 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2025-04-01 00:00:00,2025-05-26 00:00:00,RTI: TechnoAlpin S.p.A. - EcoEdile S.r.l.,2025-07-11 00:00:00,2025-12-19 00:00:00,concluso,---,---,"Ultimazione lavori di finitura:
15/06/2026",Commissario Straordinario,2026-01-22
A31.0,"Realizzazione Piste, sistemazione ""Skiweg"", impianto di risalita a servizio delle aree di gara",10.145200932892449,46.53865475381478,Lombardia,Comune di Livigno,Livigno Snow Park,C15B21000050001,"Il progetto prevede il potenziamento del comprensorio di Livigno nel versante orientale della valle, nella venue di gara Livigno Snow Park, per lo svolgimento delle gare di snowboard. L'intervento mira a realizzare quattro piste di gara di livello olimpico: Halfpipe, Slalom gigante parallelo, Snowboard Cross e Slopestyle; è prevista, inoltre, la realizzazione di una seggiovia dedicata alle nuove strutture. Le piste olimpiche transiteranno sopra la struttura del nuovo parcheggio interrato Mottolino e attraverseranno il fiume Spoel con l'utilizzo di una copertura temporanea amovibile.",Evento olimpico,14647225.96,SIMICO S.p.A.,SIMICO S.p.A.,Verifica Assoggettabilità a VIA e valutazione preliminare per la variante,"art. 19 dlgs 152/2006 e ss.mm.ii e art. 6, c. 9 del D.Lgs. 152/2006 e ss.mm.ii.",2023-05-03 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2023-10-31 00:00:00,2024-07-12 00:00:00,"RTI tra MAIR JOSEF & CO. SAS DI MAIR KLAUS, MND France SAS e TER SYSTEM S.r.l",2024-08-26 00:00:00,2026-01-19 00:00:00,concluso,---,---,"Ultimazione lavori di finitura:
07/11/2026",Commissario Straordinario,2026-01-22
A32.0,Nuovo bacino alpino comprensivo di allaccio e impianto di innevamento per tracciati di gara A e B,10.145200932892449,46.53865475381478,Lombardia,Comune di Livigno,Livigno Snow Park,C15B21000060001,"L'intervento si concentra sul versante orientale della valle, nella venue di gara Livigno Snow Park, per ospitare le gare di snowboard. Si prevede la realizzazione di un nuovo bacino di accumulo e di una stazione di pompaggio, che garantiranno un sistema di innevamento all'avanguardia in termini di efficienza energetica e sostenibilità per le piste olimpiche e post-olimpiche.",Evento olimpico,21725737.58,SIMICO S.p.A.,SIMICO S.p.A.,VIA,art. 23 dlgs 152/2006 e ss.mm.ii,2024-03-06 00:00:00,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2024-03-06 00:00:00,2024-07-12 00:00:00,"RTI tra MAIR JOSEF & CO. SAS DI MAIR KLAUS, TECHNOALPIN S.p.A. e BRUNNER&LEITER S.r.l.",2024-08-26 00:00:00,2025-11-30 00:00:00,concluso,---,---,"Ultimazione lavori di finitura:
29/11/2026",Commissario Straordinario,2026-01-22
B01.1,Riqualificazione impianto per il pattinaggio di velocità Lotto 1 - Riqualificazione dello palazzetto indoor esistente,11.252434737247498,46.1260808292737,Area Dolomitica - Trento,Comune di Baselga di Piné,Ice Rink Oval,C82H22001360003,"L'intervento prevede la riqualificazione dell'efficienza energetica e la funzionalità del Palazzetto del Ghiaccio indoor con miglioramenti all'isolamento, ottimizzazione del sistema di refrigerazione e implementazione di un sistema di recupero del calore. ",Legacy,12185606.98,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2024-10-31 00:00:00,"RTI HOLLAENDER S.r.l., IMPRESA COSTRUZIONI CARRARO GEOM. ADRIANO & C. s.n.c.,  COSTRUZIONI CASAROTTO S.p.A.",2024-11-18 00:00:00,2026-08-01 00:00:00,in esecuzione,---,Altro,"Ultimazione lavori di prima fase:
31/01/2026",Commissario Straordinario,2026-01-22
B01.2,Riqualificazione impianto per il pattinaggio di velocità Lotto 2 - Riqualificazione dell'anello outdoor esistente,11.252434737247498,46.1260808292737,Area Dolomitica - Trento,Comune di Baselga di Piné,Ice Rink Oval,C82H22001370003,L'intervento prevede il rifacimento dell’anello ed il suo collegamento al palazzetto esistente della misura di 30x60 mt tramite un tunnel sotterraneo. ,Legacy,5100000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2025-01-28 00:00:00,RTI COSTRUZIONI CASAROTTO S.p.A. - CARRARO IMPRESA SRL e HOLLAENDER S.R.L,2025-02-18 00:00:00,2026-01-30 00:00:00,in esecuzione,---,Altro,,Commissario Straordinario,2026-01-22
B01.3,Riqualificazione impianto per il pattinaggio di velocità Lotto 3 - Realizzazione del nuovo spazio polivalente indoor e interventi di completamento,11.252434737247498,46.1260808292737,Area Dolomitica - Trento,Comune di Baselga di Piné,Ice Rink Oval,C82H22001380003,"L'intervento prevede la realizzazione del nuovo spazio polivalente indoor e interventi di completamento del compendio sportivo con la riqualificazione dei locali tecnici esistenti,  l’installazione di teli riflettenti per evitare la dispersione del freddo della pista, un nuovo edificio volto a ospitare un campo da basket, una piastra 30x60, un campo indoor di tiro con l’arco e relativi servizi igienici e impianti. ",Legacy,17800000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,art. 14 L. 241/1990 e ss.mm.ii.,2026-05-24 00:00:00,2026-08-07 00:00:00,---,2026-12-12 00:00:00,2027-12-12 00:00:00,in progettazione,---,Altro,,Commissario Straordinario,2026-01-22
B02.1,Riqualificazione Stadio per lo sci di Fondo Lotto Funzionale 1A - Nuovo volume interrato: per gli spogliatoi atleti ed i locali tecnici,11.52385227951603,46.28214815184704,Area Dolomitica - Trento,Comune di Tesero,Stadio del Fondo,C61B21013820004,L'intervento  prevede la realizzazione di un nuovo volume interrato per  i nuovi spogliatoi atleti e locali tecnici per gli skimen. ,Evento olimpico,5131170,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-12-07 00:00:00,2023-07-25 00:00:00,Ati: C.T.S. s.r.l. - Impresa Edile Volcan Severno s.r.l. ,2023-10-02 00:00:00,2025-05-05 00:00:00,concluso,---,---,,,2026-01-22
B02.2,Riqualificazione Stadio per lo sci di Fondo Lotto  1B - Demolizione e ricostruzione edificio ex tribuna - realizzazione nuovo centro federale,11.52385227951603,46.28214815184704,Area Dolomitica - Trento,Comune di Tesero,Stadio del Fondo,C64J23000390003,"L’intervento prevede la demolizione tribune esistenti e la realizzazione di un nuovo edificio con una sala Lounge, uffici per cronometristi e giudici di gara, spogliatoi per i giudici, realizzazione di un nuovo edificio per il centro FISI con una sala per la preparazione fisica e una sala per i materiali. ",Evento olimpico,5179340,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-12-07 00:00:00,2024-02-06 00:00:00,Stroppa Costruzioni s.r.l.,2024-03-04 00:00:00,2025-11-05 00:00:00,concluso,---,---,,,2026-01-22
B02.3,Riqualificazione Stadio per lo sci di Fondo Lotto Funzionale 2 - Manutenzione straordinaria dell'impianto sportivo,11.52385227951603,46.28214815184704,Area Dolomitica - Trento,Comune di Tesero,Stadio del Fondo,C64J23000400003,"L'intervento prevede la riqualificazione degli edifici esistenti dal rifacimento delle coperture alla sostituzione dei serramenti, adeguamento dell'illuminazione, sistemazione pavimenti, tinteggiatura e manutenzione straordinaria dei percorsi pedonali esterni lato piste. ",Evento olimpico,881499.76,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2025-03-13 00:00:00,F.LLI ZENI PIASTRELLISTI SNC,2025-04-01 00:00:00,2025-12-05 00:00:00,concluso,---,---,,,2026-01-22
